Ste,Val,Train
0,10.58653831,3.942760944
1,3.237246513,3.005760908
2,3.621512175,2.913822174
3,3.535563946,2.874510765
4,3.080145359,2.841897249
5,3.336759567,2.82524085
6,3.174418926,2.81466198
7,3.104701042,2.793926477
8,3.180799961,2.777722836
9,3.35745883,2.743439198
10,3.033936262,2.735276461
11,3.141740322,2.707993031
12,3.024737358,2.678772449
13,3.107336998,2.653617144
14,2.934951782,2.62157464
15,2.866217136,2.615178585
16,3.039065361,2.576481581
17,2.912611723,2.544552088
18,2.798988819,2.51157403
19,2.916156769,2.478010654
20,2.766942501,2.45033288
21,2.702724218,2.429023504
22,2.86617136,2.399847269
23,2.604800701,2.361243725
24,2.590115547,2.353730202
25,2.659785509,2.32179141
26,2.848919868,2.286802053
27,2.584366798,2.266839981
28,2.617887497,2.238362312
29,2.474267721,2.208656788
30,2.497129917,2.195061207
31,2.497717857,2.182435989
32,2.461590767,2.159230709
33,2.434207678,2.135267735
34,2.533555984,2.113668203
35,2.463959932,2.099818468
36,2.489634514,2.075398445
37,2.496713638,2.041049242
38,2.522705793,2.041962624
39,2.345344067,2.007620573
40,2.399705887,1.969107747
41,2.502614498,1.97370553
42,2.367969036,1.95069623
43,2.380314589,1.942119241
44,2.338951111,1.923894048
45,2.362198591,1.912624121
46,2.378155708,1.896799922
47,2.340526581,1.858444095
48,2.357549191,1.875410199
49,2.391759157,1.83540678
50,2.326197624,1.833887815
51,2.315212965,1.803160906
52,2.386210203,1.796156764
53,2.501351118,1.774150252
54,2.275057554,1.764478445
55,2.306243658,1.762585998
56,2.309416056,1.746263266
57,2.390055895,1.710976362
58,2.350759029,1.701773167
