Step,Val,Train
0,10.78058243,3.822402239
1,3.228395462,2.88537693
2,3.563159466,2.860636473
3,3.297803879,2.831210613
4,3.259623528,2.788835287
5,2.981977463,2.73277998
6,2.904128551,2.659933567
7,2.95770216,2.587219715
8,2.667120695,2.529255867
9,2.711324215,2.478681803
10,2.535477161,2.433793068
11,2.748876333,2.395927906
12,2.470729589,2.361979961
13,2.524418116,2.33008194
14,2.525326729,2.295403242
15,2.42245245,2.271544933
16,2.333279133,2.245705366
17,2.280831099,2.223436832
18,2.272366524,2.186485767
19,2.239515066,2.167689562
20,2.260034323,2.144371271
21,2.238315105,2.11930728
22,2.224878073,2.099368572
23,2.222920179,2.083224535
24,2.229772091,2.068950176
25,2.147936344,2.05591917
26,2.191341877,2.026478529
27,2.228091002,2.015191793
28,2.134829044,2.00014019
29,2.119930267,1.980212092
30,2.102967024,1.967275381
31,2.105778217,1.947651625
32,2.062419653,1.941299438
33,2.172540188,1.918555379
34,2.103960514,1.905963182
35,2.042318106,1.901794672
36,2.037809849,1.875697851
37,2.007456541,1.87706852
38,2.146121502,1.852982759
39,2.002437115,1.848203421
40,1.986027718,1.832761168
41,1.995117545,1.803371072
42,2.036357403,1.793629527
43,1.963390589,1.795035839
44,1.992625237,1.778781533
45,1.965714812,1.776042461
46,1.957746983,1.768365145
47,1.941386104,1.756044626
48,1.949582338,1.739292502
49,1.937484145,1.728466034
50,1.931139231,1.718710065
51,1.927964568,1.710786819
52,1.959078789,1.697204709
53,1.944442987,1.684771776
54,1.923566818,1.675596952
55,1.90777576,1.671761036
56,1.889079452,1.659571528
57,1.91504848,1.650567293
58,1.91823554,1.636872411
59,1.931736946,1.632542968
60,1.877120972,1.636963487
61,1.930762649,1.618084073
62,1.894530058,1.606224179
63,1.895905495,1.604259968
64,1.910570383,1.593120098
65,1.865093231,1.594277859
66,1.848839283,1.575664282
67,1.869464397,1.564715743
68,1.84799993,1.561540484
69,1.869881511,1.545584321
70,1.834916949,1.541144967
71,1.838935852,1.537951946
72,1.844787598,1.521794796
73,1.865903616,1.511687875
74,1.835286379,1.50872016
75,1.86136663,1.507372618
76,1.861641407,1.491915226
77,1.852121115,1.496293068
78,1.816271305,1.493518472
79,1.829749465,1.475826025
80,1.838742495,1.479461074
81,1.845417738,1.465342999
82,1.826932669,1.460301399
83,1.806530833,1.459634066
84,1.82957685,1.440376997
85,1.81297493,1.43960011
86,1.807021022,1.429436684
87,1.795120955,1.42415154
88,1.831545234,1.414977312
89,1.818454742,1.399885654
90,1.821849823,1.397123098
91,1.79668045,1.399606109
92,1.783237457,1.397364497
93,1.803161383,1.383965254
94,1.803525925,1.362328172
95,1.784389973,1.379750371
96,1.793200374,1.364596367
97,1.788048983,1.357948422
98,1.791753292,1.352388859
99,1.782839537,1.34593451
100,1.815367699,1.324596882
101,1.796949267,1.335143209
102,1.826494455,1.321464419
103,1.803527713,1.31682086
104,1.776883125,1.309738398
105,1.793275833,1.312246084
106,1.795287132,1.30344975
107,1.783473849,1.300222516
108,1.762800574,1.284928799
109,1.779780269,1.274799109
110,1.799462557,1.278219461
111,1.795044422,1.2691921
112,1.758084059,1.271162868
113,1.777623057,1.263706803
114,1.775607467,1.258633137
115,1.773484945,1.251703501
116,1.782555342,1.244338989
117,1.775455713,1.241211176
118,1.773643494,1.221461177
119,1.781569242,1.229777575
120,1.791030884,1.226100206
121,1.765136719,1.212273717
122,1.772025824,1.206896067
123,1.769371867,1.200350881
124,1.784293532,1.205911517
125,1.765467405,1.199880123
126,1.760844588,1.181580544
127,1.772458076,1.183166027
128,1.772526145,1.179252744
129,1.774142146,1.174675107
130,1.769123077,1.175715804
131,1.763060451,1.167895317
132,1.742186904,1.165220022
133,1.780774593,1.14981389
134,1.780246735,1.142685533
135,1.730536819,1.150834918
136,1.774226069,1.127254486
137,1.754968643,1.143667936
138,1.788442135,1.129510045
139,1.778494358,1.125380516
140,1.749084711,1.120809436
141,1.774343848,1.098125339
142,1.794378638,1.096068978
143,1.74988246,1.101109505
144,1.764838934,1.095456481
145,1.772072554,1.102338791
146,1.745975256,1.088694096
147,1.76681304,1.087942243
148,1.742336273,1.073215365
149,1.767849684,1.070371032
150,1.77999258,1.063743472
151,1.754820228,1.064625382
152,1.784070849,1.055268407
153,1.828468204,1.044087052
154,1.727835059,1.039883137
155,1.734381914,1.044872761
156,1.776188612,1.037565708
157,1.766465664,1.028968692
158,1.768986702,1.013686776
159,1.794201255,1.024670005
160,1.764023781,1.02853632
161,1.804190516,1.016482592
162,1.775330782,1.009924412
163,1.770144224,1.006493211
164,1.750837088,0.994684875
165,1.789117813,1.009224296
166,1.774074912,0.989561856
167,1.760920405,0.982693374
168,1.789175987,0.983466923
169,1.848230124,0.971586943
170,1.819195986,0.9697873
171,1.755576849,0.97097379
172,1.77862668,0.955821097
173,1.753743649,0.946035564
174,1.783359885,0.945196569
175,1.779361725,0.951996744
